scnlp400-00001	neutralizador de nitroglicerina
scnlp400-00732	físico teórico
scnlp400-00733	operador de prensa litografía
scnlp400-00734	restaurador de perlas
scnlp400-00735	diseñador de telas textiles
scnlp400-00736	removedor de bases
scnlp400-00737	paseador de perros
scnlp400-00738	mago
scnlp400-00739	maga
scnlp400-00740	maquinista experimental
scnlp400-00741	mecánico de aviones de armamento
scnlp400-00742	ingeniero de confiabilidad
scnlp400-00743	bloqueador ii
scnlp400-00744	inspector de dureza
scnlp400-00745	operador de moldes
scnlp400-00746	jefe de corrección
scnlp400-00747	licitación de equipo de variación de fuerza
scnlp400-00748	túnel de agujas
scnlp400-00749	ensamblador de cables y swager
scnlp400-00750	antropólogo físico
scnlp400-00751	ayudante mecánico de pinsetter
scnlp400-00752	operador de equipo formador de alta energía
scnlp400-00753	gerente del hotel
scnlp400-00754	trabajador de planta de gas comprimido
scnlp400-00755	máquina de tejer cabeza fijador
scnlp400-00756	patinadora
scnlp400-00757	comprobador de construcción
scnlp400-00758	análisis de lodo
scnlp400-00759	vallista
scnlp400-00760	probador de refrigerador
scnlp400-00761	ayudante técnico de prueba
scnlp400-00762	trabajador hortícola ii
scnlp400-00763	estratega
scnlp400-00764	calibrador de hidrómetro
scnlp400-00765	operador de lavadora de tela
scnlp400-00766	rastro
scnlp400-00767	calentador de remaches
scnlp400-00768	tapa de asiento de automóvil y instalador de tapa convertible
scnlp400-00769	setter de núcleo
scnlp400-00770	sismóloga
scnlp400-00771	fabricante de rábano picante
scnlp400-00772	enterrador
scnlp400-00773	ascensores, escaleras mecánicas y representantes de ventas de montacargas
scnlp400-00774	segundo de a bordo
scnlp400-00775	probador especial
scnlp400-00776	mezclador de goma espuma
scnlp400-00777	publicista
scnlp400-00778	asistente técnico de la biblioteca
scnlp400-00779	pastor de cabras
scnlp400-00780	director de enfermería de salud comunitaria
scnlp400-00781	granjera
scnlp400-00782	gerente de promoción
scnlp400-00783	psicólogo organizacional
scnlp400-00784	técnico de adquisición de datos de prueba de vuelo
scnlp400-00785	inspector de plumillas
scnlp400-00786	abogado
scnlp400-00787	segundo mayordomo
scnlp400-00788	terminador
scnlp400-00789	auxiliar de vuelo
scnlp400-00790	fabricante de la máscara de la foto del haz de electrones
scnlp400-00791	perforador de parches
scnlp400-00792	lijadora y acabadora de metal
scnlp400-00793	fabricante de pelucas de maniquí
scnlp400-00794	devanadera automática de hilo
scnlp400-00795	operador de máquinas emparejadoras
scnlp400-00796	operador automático de la rueda
scnlp400-00797	ingeniero de investigación de cerámica
scnlp400-00798	operador de máquina de escalado
scnlp400-00799	terapeuta respiratorio
scnlp400-00800	representante de servicio de pasajeros ii
scnlp400-00801	mesa de licitación
scnlp400-00802	bucker traducción
scnlp400-00803	especialista en camuflaje
scnlp400-00804	conductor de entrega de periódicos
scnlp400-00805	técnico de entrenamiento
scnlp400-00806	operador del horno de vapor
scnlp400-00807	horno de leña
scnlp400-00808	supervisor de ensamblaje de electrodomésticos
scnlp400-00809	tecnólogo radiológico
scnlp400-00810	tallador de piedra
scnlp400-00811	inspector de fotos de tubería de alcantarillado
scnlp400-00812	director atlético
scnlp400-00813	astrofísico
scnlp400-00814	faller i
scnlp400-00815	tornero automático
scnlp400-00816	operador de la recogedora de cerezas
scnlp400-00817	ensamblador de máquinas de moneda
scnlp400-00818	supervisor de acabado de diamantes
scnlp400-00819	granjero general
scnlp400-00820	desarrollador de color
scnlp400-00821	profiler de mano
scnlp400-00822	último ayudante reparador
scnlp400-00823	guardia de seguridad
scnlp400-00824	inmunohematólogo
scnlp400-00825	operador de prensa flexográfica
scnlp400-00826	operador de torre
scnlp400-00827	operador de máquina de coser ultrasónico semiautomático
scnlp400-00828	detallista farmacéutico
scnlp400-00829	fabricante de muestras ii
scnlp400-00830	operador de extremo húmedo ii
scnlp400-00831	apuntador
scnlp400-00832	operador de máquina de bobinado de hilo
scnlp400-00833	maquina de maquinaras automática
scnlp400-00834	acabado de tuberías
scnlp400-00835	representante de ventas de televisión por cable
scnlp400-00836	extractor de cable
scnlp400-00837	apilador de batería
scnlp400-00838	probador de fugas de eliminación de residuos
scnlp400-00839	terapeuta correctivo
scnlp400-00840	molino de caña
scnlp400-00841	tanque de vacío
scnlp400-00842	ayudante del operador del convertidor catalítico
scnlp400-00843	cajero de cheques
scnlp400-00844	fisioterapeuta
scnlp400-00845	mezclador por lotes
scnlp400-00846	limpiador de almohadas
scnlp400-00847	venta de productos hortícolas y viverosperson
scnlp400-00848	numerólogo
scnlp400-00849	operador más seco i
scnlp400-00850	probador de motocicleta
scnlp400-00851	operador de casa de tanque
scnlp400-00852	pegadora y cuña
scnlp400-00853	stamper de la máquina
scnlp400-00854	operador de máquinas de colocación de cuerdas
scnlp400-00855	compuesto químico
scnlp400-00856	representante de servicio al cliente
scnlp400-00857	removedor de tornillo
scnlp400-00858	malt house loader
scnlp400-00859	asistente de programa
scnlp400-00860	operador de múltiples brocas
scnlp400-00861	alpinista
scnlp400-00862	taxímetro
scnlp400-00863	cajón de alambre de fantasía
scnlp400-00864	corredor de arroz limpio
scnlp400-00865	fiscal principal
scnlp400-00866	operador de espesante
scnlp400-00867	ingeniero de diseño de equipo agrícola
scnlp400-00868	examinador médico
scnlp400-00869	editor
scnlp400-00870	corredor de información
scnlp400-00871	policista
scnlp400-00872	instructor de modelado
scnlp400-00873	máquina laminadora
scnlp400-00874	operador automático de máquina quilling
scnlp400-00875	guía de aeropuertos
scnlp400-00876	vendedor de información de asegurado
scnlp400-00877	asistente de operaciones de confianza
scnlp400-00878	cortador de ruedas
scnlp400-00879	flebotomista
scnlp400-00880	molder de esquí
scnlp400-00881	analista de peso
scnlp400-00882	divisor de máquina
scnlp400-00883	interruptor de licitación
scnlp400-00884	cortador de alfombras ii
scnlp400-00885	semiconductor dies loader
scnlp400-00886	monitor potline
scnlp400-00887	vendedor de boletos
scnlp400-00888	editor de asignaciones
scnlp400-00889	primer muestreador
scnlp400-00890	supervisor de granja de árboles de navidad
scnlp400-00891	redactor mecánico
scnlp400-00892	pañero
scnlp400-00893	vendedor de billetes
scnlp400-00894	impresora de la máquina
scnlp400-00895	carretón del coche del ferrocarril
scnlp400-00896	director de investigación y planificación de empleo
scnlp400-00897	supervisor sin fin del vehículo de la pista
scnlp400-00898	productor ejecutivo
scnlp400-00899	supervisor de auditoría
scnlp400-00900	esparcidor
scnlp400-00901	escritor de continuidad
scnlp400-00902	operador de máquina de división
scnlp400-00903	caminante de línea
scnlp400-00904	dependiente de la bóveda de la confianza
scnlp400-00905	abogado de impuestos
scnlp400-00906	técnico láser
scnlp400-00907	public address servicer
scnlp400-00908	pluriempleado
scnlp400-00909	reparador de la línea de polvo
scnlp400-00910	supervisor de casa de alimentación
scnlp400-00911	sampler de lana
scnlp400-00912	medidor de pañería y tapicería
scnlp400-00913	cocinero del ferrocarril
scnlp400-00914	lavandería de autoservicio y auxiliar de limpieza en seco
scnlp400-00915	director de habla y audiencia
scnlp400-00916	marcador de barril
scnlp400-00917	encargado de la máquina de tirar de hilo
scnlp400-00918	embalador de pescado
scnlp400-00919	cortador de vela
scnlp400-00920	v skiver de la correa
scnlp400-00921	alimentador automático de clavadoras
scnlp400-00922	operador de máquina de correo de ala
scnlp400-00923	inspector de cabecera de club de golf y ajustador
scnlp400-00924	ayudante de mecánico de tractor
scnlp400-00925	operador de máquina de recubrimiento de carbón
scnlp400-00926	jacket neumático
scnlp400-00927	aparejo y control de mecánico de aviones
scnlp400-00928	trabajador agrícola del grano ii
scnlp400-00929	cubierta de células
scnlp400-00930	inspector de saneamiento
scnlp400-00931	lijadora y tampón
scnlp400-00932	custodio de bóveda
scnlp400-00933	banderín de mano
scnlp400-00934	instructor de deportes
scnlp400-00935	supervisor de oficina inmobiliaria
scnlp400-00936	sellador y probador de presión
scnlp400-00937	mecánico de tractor
scnlp400-00938	supervisor central de suministros
scnlp400-00939	operador de máquina fotográfica
scnlp400-00940	trabajador de la unidad de calzado hecho a máquina
scnlp400-00941	auxiliar de la devanadora de la armadura de reparación
scnlp400-00942	fotógrafo biológico
scnlp400-00943	operador de máquina de franjas
scnlp400-00944	ensamblador de puente de equilibrio
scnlp400-00945	cortador de cinta
scnlp400-00946	inspector de frutas perecedero
scnlp400-00947	mecánico scagliola
scnlp400-00948	fabricante de máquinas
scnlp400-00949	técnico de instrumentos
scnlp400-00950	operador de cámara de animación
scnlp400-00951	representante de ventas del grupo
scnlp400-00952	director artistico
scnlp400-00953	selector cue
scnlp400-00954	operador de máquina ranuradora
scnlp400-00955	supervisor de compensación
scnlp400-00956	soldado
scnlp400-00957	manicuro
scnlp400-00958	tampón de almohadilla hinchada
scnlp400-00959	molinero ii
scnlp400-00960	corredera automática
scnlp400-00961	camionero
scnlp400-00962	chófer
scnlp400-00963	operador de máquina de afeitar
scnlp400-00964	operador de máquina de inmersión
scnlp400-00965	venta de automóvilesperson
scnlp400-00966	deshollinador
scnlp400-00967	máquina de bolas de algodón
scnlp400-00968	limpiador de rodillos
scnlp400-00969	gestor de circulación
scnlp400-00970	supervisor de limpieza de tanques
scnlp400-00971	recortador del marco i
scnlp400-00972	coordinador de servicios de rehabilitación
scnlp400-00973	supervisor de mantenimiento de piscinas
scnlp400-00974	mezcladora de polvo de imprimación húmeda
scnlp400-00975	lapper
scnlp400-00976	ayudante de reparación de coches
scnlp400-00977	probador hidráulico neumático
scnlp400-00978	cortador de cizalla rotativa
scnlp400-00979	analista de comunicaciones de datos
scnlp400-00980	camarero de bar
scnlp400-00981	reverendo
scnlp400-00982	artillero de artillería
scnlp400-00983	recortadora de mophead y envoltura
scnlp400-00984	consultor de biblioteca
scnlp400-00985	empleado de almacén
scnlp400-00986	predicador
scnlp400-00987	piloto sumergible
scnlp400-00988	supervisor de juntas de tuberías
scnlp400-00989	inspector de pisos
scnlp400-00990	operador de máquina de llenado
scnlp400-00991	operador de máquina de control numérico
scnlp400-00992	ensamblador de centro de líquidos
scnlp400-00993	empresaria
scnlp400-00994	operador de prensa de carne
scnlp400-00995	plasterer
scnlp400-00996	tecnólogo de radioterapia
scnlp400-00997	carpintero de moldes
scnlp400-00998	molder de barra de aguja
scnlp400-00999	operador de punzón central
scnlp400-01000	cervecero
scnlp400-01001	abridor ii
scnlp400-01002	gerente de pensión
scnlp400-01003	técnico de laboratorio de cine
scnlp400-01004	equipo de lubricación
scnlp400-01005	quemador de carbón
scnlp400-01006	primer ministro
scnlp400-01007	histotechnologist
scnlp400-01008	gerente de servicios de equipo
scnlp400-01009	operador de máquina de rayado
scnlp400-01010	ingeniero jefe de la estación
scnlp400-01011	ayudante del operador de la máquina trenzadora
scnlp400-01012	ensamblador de carretes
scnlp400-01013	examinador de rollos
scnlp400-01014	fabricante de placas fotográficas
scnlp400-01015	misionero
scnlp400-01016	separador de células
scnlp400-01017	cortador de la máquina ii
scnlp400-01018	secretario de transporte
scnlp400-01019	supervisor de planta de mezclado y hormigón
scnlp400-01020	alimentador de máquina de pelar
scnlp400-01021	operador de máquina de chipper de azúcar
scnlp400-01022	arandela de mano
scnlp400-01023	procesador de semiconductores
scnlp400-01024	fabricante de botones e instalador
scnlp400-01025	operador de cola automática
scnlp400-01026	entrenador de atletismo
scnlp400-01027	director de campaña
scnlp400-01028	supervisor de fabricación de especialidades
scnlp400-01029	supervisor de casa de hielo
scnlp400-01030	operador de la máquina de achaflanado i
scnlp400-01031	ejecutor
scnlp400-01032	violinista
scnlp400-01033	operador de la máquina de fresado i
scnlp400-01034	operador de la máquina de perfilado de herramientas
scnlp400-01035	planificador de recuperación de datos
scnlp400-01036	internista
scnlp400-01037	líder minoritario
scnlp400-01038	ingeniero fotográfico
scnlp400-01039	licitación de liquidación
scnlp400-01040	arandela de parche
scnlp400-01041	lavadora de artículos de punto
scnlp400-01042	rodillo i
scnlp400-01043	operador automático de corte de vidrio
scnlp400-01044	torno automático giratorio
scnlp400-01045	crustáceo
scnlp400-01046	instalador y reparador de hornos de aire caliente
scnlp400-01047	supervisor de secado
scnlp400-01048	licitador de máquina de producción
scnlp400-01049	mecánico de sierra mecánica
scnlp400-01050	operador de máquina de fundición centrífuga
scnlp400-01051	supervisor de clasificación de logs
scnlp400-01052	oficial de seguridad contra incendios
scnlp400-01053	ayudante de artífice
scnlp400-01054	cazador de focas
scnlp400-01055	operador de rodillos de encaje
scnlp400-01056	pegador
scnlp400-01057	profesor de recursos
scnlp400-01058	terapeuta de orientación y movilidad para ciegos
scnlp400-01059	alimentador de la máquina de fusión
scnlp400-01060	inspector automático de máquinas de escribir
scnlp400-01061	conductor de camión mezclador de concreto
scnlp400-01062	supervisor de corte y expedición
scnlp400-01063	administrador regulador
scnlp400-01064	bombero forestal
scnlp400-01065	corrector de pruebas
scnlp400-01066	operador de máquina de coser ii
scnlp400-01067	ceramista dental
scnlp400-01068	traducciones de melter
scnlp400-01069	operador de la máquina de moldeo por compresión
scnlp400-01070	operador automático de máquina de hacer almohadillas
scnlp400-01071	supervisor de calefacción, laminado y acabado de planchas
scnlp400-01072	técnico de efectos de sonido
scnlp400-01073	papel maché molder
scnlp400-01074	operador de máquina de filtrado gettering
scnlp400-01075	stamper
scnlp400-01076	forro de ataúd
scnlp400-01077	operador de rectificado automático
scnlp400-01078	inspector de aduanas
scnlp400-01079	máquina de laminación
scnlp400-01080	despachador de guardia de seguridad
